company_name,ticker,hq_location,company_size,product_name,indication,modality,trigger_event,trigger_date,event_source,stage,pdufa_date,competitors,fit_score,fit_rationale,date_added
CIPLA,CIPLA.NS,"Mumbai, India",Large,LENALIDOMIDE,"Multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma",small molecule,Indication Expansion Approved,2026-04-27,OpenFDA (api.fda.gov),Expanding,,"Bristol-Myers Squibb (Revlimid), Teva, Natco, Dr. Reddy's",Medium,"Large generic company but oncology/hematology indication has high MA complexity; generic Revlimid requires REMS program management and specialty distribution, creating moderate MA needs.",2026-06-16
REGENERON PHARMACEUTICALS,REGN,"Tarrytown, USA",Large,DUPIXENT,"Atopic dermatitis, asthma, COPD, eosinophilic esophagitis",biologic,Indication Expansion Approved,2026-04-22,OpenFDA (api.fda.gov),Expanding,,"AbbVie (Rinvoq), Pfizer (Cibinqo), Sanofi (co-marketer)",Medium,Large cap company but indication expansion into specialty immunology areas may present underserved product team opportunity. High MA intensity for new indication launch despite established parent product.,2026-06-16
EUGIA PHARMA,,"Hyderabad, India",Small,LENALIDOMIDE,"Multiple myeloma, myelodysplastic syndromes",small molecule,Indication Expansion Approved,2026-04-27,OpenFDA (api.fda.gov),Expanding,,"Bristol-Myers Squibb (Revlimid originator), Teva, Dr. Reddy's",Medium,"Small company with specialty oncology/hematology product requiring REMS program management. However, generic version of established drug limits MA intensity. Incomplete data on company size and vendor status.",2026-06-16
ZYDUS PHARMS,ZYDUSLIFE.NS,"Ahmedabad, India",Mid,METHYLPREDNISOLONE,Inflammatory and autoimmune conditions (corticosteroid),small molecule,Indication Expansion Approved,2026-06-01,OpenFDA (api.fda.gov),Expanding,,"Pfizer (Medrol), Teva, Mylan, Hikma",Low,"Generic corticosteroid with low MA complexity; mature, well-established primary care product category with minimal Medical Affairs intensity requirements.",2026-06-16
APOTEX,,"Toronto, Canada",Large,ALENDRONATE SODIUM,"Osteoporosis, Paget's disease",small molecule,Indication Expansion Approved,2026-05-07,OpenFDA (api.fda.gov),Expanding,,"Merck (Fosamax), Teva, Mylan, Sun Pharma",Low,"Large private generic company; alendronate is a mature, commoditized bisphosphonate for primary care with minimal MA complexity and established treatment protocols.",2026-06-16
BARR,,"Pomona, USA",Mid,LEFLUNOMIDE,"Rheumatoid arthritis, psoriatic arthritis",small molecule,Indication Expansion Approved,2026-06-02,OpenFDA (api.fda.gov),Expanding,,"Sanofi (Arava), Teva, Apotex, Sandoz",Low,Barr (now part of Teva) producing mature generic DMARD; product is well-established with limited differentiation opportunity and low MA intensity for generic immunomodulator.,2026-06-16
BARR,,"Pomona, USA",Mid,LEFLUNOMIDE,"Rheumatoid arthritis, psoriatic arthritis",small molecule,Indication Expansion Approved,2026-06-02,OpenFDA (api.fda.gov),Expanding,,"Sanofi (Arava), Teva, Apotex, Sandoz",Low,Duplicate record of above; same assessment applies—mature generic DMARD with low MA complexity and minimal intelligence platform needs.,2026-06-16
BARR,,"Pomona, USA",Mid,METHOTREXATE SODIUM,"Rheumatoid arthritis, psoriasis, oncology (various cancers)",small molecule,Indication Expansion Approved,2026-05-27,OpenFDA (api.fda.gov),Expanding,,"Pfizer, Teva, Fresenius Kabi, Accord Healthcare",Low,"Decades-old generic antimetabolite with well-established protocols; despite oncology/rheumatology use, commoditized product with minimal differentiation and low MA intelligence needs.",2026-06-16
CHARTWELL RX,,"Congers, USA",Small,OXCARBAZEPINE,"Epilepsy, partial seizures",small molecule,Indication Expansion Approved,2026-05-12,OpenFDA (api.fda.gov),Expanding,,"Novartis (Trileptal), Apotex, Teva, Glenmark",Low,Small generic-focused company; oxcarbazepine is a mature anticonvulsant with established clinical guidelines—low complexity and minimal MA differentiation opportunity. Incomplete data: limited company financial information available.,2026-06-16
ANNORA PHARMA,,"Hyderabad, India",Small,SPIRONOLACTONE,"Heart failure, hypertension, edema, hyperaldosteronism",small molecule,Indication Expansion Approved,2026-05-12,OpenFDA (api.fda.gov),Expanding,,"Pfizer, Teva, Mylan, Accord Healthcare",Low,Small generic manufacturer; spironolactone is a highly commoditized primary care diuretic with decades of use—minimal MA complexity and no specialty positioning. Incomplete data: limited company details available.,2026-06-16
STRIDES PHARMA INTL,STAR.NS,"Bangalore, India",Small,MEPERIDINE HYDROCHLORIDE,Pain management (opioid analgesic),small molecule,Indication Expansion Approved,2026-05-15,OpenFDA (api.fda.gov),Expanding,,"Pfizer, Hikma, Fresenius Kabi",Low,"Generic opioid analgesic is a mature, commoditized market with low Medical Affairs intensity. Primary care indication with minimal KOL engagement needs.",2026-06-16
LUPIN LTD,LUPIN.NS,"Mumbai, India",Mid,LOSARTAN POTASSIUM,"Hypertension, cardiovascular disease",small molecule,Indication Expansion Approved,2026-06-08,OpenFDA (api.fda.gov),Expanding,,"Merck, Teva, Aurobindo, Sandoz",Low,Generic ARB for primary care hypertension indication. Mature market with low complexity and minimal Medical Affairs requirements.,2026-06-16
NOVO NORDISK,NVO,"Bagsværd, Denmark",Large,OZEMPIC,"Type 2 diabetes, cardiovascular risk reduction",biologic,Indication Expansion Approved,2026-06-01,OpenFDA (api.fda.gov),Expanding,,"Eli Lilly (Mounjaro), AstraZeneca (Bydureon)",Low,"Large cap company (~$400B+) with established, well-resourced Medical Affairs infrastructure. Mature blockbuster product with likely existing MA intelligence vendor relationships.",2026-06-16
SAMSUNG BIOEPIS CO LTD,,"Incheon, South Korea",Mid,HADLIMA,"Rheumatoid arthritis, psoriatic arthritis, Crohn's disease, ulcerative colitis",biologic,Indication Expansion Approved,2026-04-29,OpenFDA (api.fda.gov),Expanding,,"AbbVie (Humira), Amgen (Amjevita), Boehringer Ingelheim (Cyltezo)",Low,Biosimilar adalimumab in crowded market with 10+ competitors. Limited differentiation opportunity and lower Medical Affairs intensity compared to novel biologics.,2026-06-16
MERCK SHARP DOHME,MRK,"Rahway, USA",Large,KEYTRUDA QLEX,"Oncology (various solid tumors, immunotherapy)",biologic,Indication Expansion Approved,2026-05-12,OpenFDA (api.fda.gov),Expanding,,"Bristol-Myers Squibb (Opdivo), Roche (Tecentriq), AstraZeneca (Imfinzi)",Low,Large cap pharma (~$300B+) with deeply established Medical Affairs organization and likely existing vendor relationships. Flagship oncology product with mature MA infrastructure.,2026-06-16
